ID,Nombre,Región,Provincia,Comuna,Edad,Instrumentos,Link,Lugar específico,Instructores,Elenco, 
FOJI_A107,Orquesta Filarmonica Infantil-Juvenil De La Corporacion Municipal De Colina,Región Metropolitana,Provincia de Chacabuco,Colina,Juvenil - Infantil,," https://es-la.facebook.com/LiceoTPN/ , https://www.youtube.com/channel/UCGsinF9Zyhd06yqRoXW6jBQ","Región Metropolitana - Provincia de Chacabuco - Colina , Santiago", , , 
FOJI_A108,Orquesta Filarmonica Juvenil De La Antena,Región de Coquimbo,Provincia de Elqui,La Serena,Juvenil,, ,Región de Coquimbo - Provincia de Elqui - La Serena, , , 
FOJI_A109,Orquesta Filarmonica Juvenil Escuela Experimental De Musica Jorge Peña Hen,Región de Coquimbo,Provincia de Elqui,La Serena,Juvenil - Infantil,"Cuerdas, Maderas, Bronces, Percusión","https://catastro.foji.cl/orquesta/220/@orquestasinf%C3%B3nicajuveniljorgepe%C3%B1ahen , https://catastro.foji.cl/orquesta/220/@orquestasinfonicajuvenil.j.p.h",Región de Coquimbo - Provincia de Elqui - La Serena, , , 
FOJI_A110,Orquesta Filarmonica Municipal de Chonchi,Región de los Lagos,Provincia de Chiloé,Chonchi,Juvenil - Infantil,,,Región de los Lagos - Provincia de Chiloé - Chonchi,6,70, 
FOJI_A111,ORQUESTA FILARMÓNICA MANQUEMÁVIDA,Región del Libertador Gral. Bernando OHiggins,Provincia de Colchagua,Santa Cruz,Infantil,"Cuerdas, Maderas, Bronces","https://catastro.foji.cl/orquesta/525/OFIM.SC , https://catastro.foji.cl/orquesta/525/OFIM.SC",Región del Libertador Gral. Bernando OHiggins - Provincia de Colchagua - Santa Cruz,2,16, 
FOJI_A112,Orquesta Filarmónica Municipal de Curacaví,Región Metropolitana,Provincia de Melipilla,Curacaví,Juvenil - Infantil,, ,Región Metropolitana - Provincia de Melipilla - Curacaví,8,38, 
FOJI_A113,Orquesta Franciscana Santa Maria De Belen,Región de Coquimbo,Provincia de Elqui,Coquimbo,Juvenil - Infantil,, ,Región de Coquimbo - Provincia de Elqui - Coquimbo, , , 
FOJI_A114,ORQUESTA INF. JUV. CURANILAHUE,Región del Biobío,Provincia de Arauco,Curanilahue,Juvenil - Infantil,, ,"Región del Biobío - Provincia de Arauco - Curanilahue , CURANILAHUE",14,96, 
FOJI_A115,Orquesta Infantil - Juvenil Aprender,Región Metropolitana,Provincia de Santiago,La Pintana,Juvenil - Infantil,, ,"Región Metropolitana - Provincia de Santiago - La Pintana , Santiago",4,15, 
FOJI_A116,Orquesta Infantil - Juvenil Colegio Cardenal Carlos Oviedo Cavada,Región Metropolitana,Provincia de Santiago,Maipú,Juvenil - Infantil,, ,"Región Metropolitana - Provincia de Santiago - Maipú , Santiago",7,54, 
FOJI_A117,Orquesta Infantil - Juvenil Colegio Juan Francisco Fresno,Región Metropolitana,Provincia Cordillera,Puente Alto,Juvenil - Infantil,, ,"Región Metropolitana - Provincia Cordillera - Puente Alto , Santiago",7,14, 
FOJI_A118,Orquesta Infantil - Juvenil Colegio San Luis,Región de Antofagasta,Provincia de Antofagasta,Antofagasta,Juvenil - Infantil,, https://facebook.com/jptest,Región de Antofagasta - Provincia de Antofagasta - Antofagasta, , , 
FOJI_A119,Orquesta Infantil - Juvenil de Curico,Región del Maule,Provincia de Curicó,Curicó,Juvenil - Infantil,,https://www.facebook.com/programa.tocandosuenos.9,Región del Maule - Provincia de Curicó - Curicó,4,25, 
FOJI_A120,Orquesta Infantil - Juvenil De La Cruz - Ensamble Temporia,Región de Valparaíso,Provincia de Quillota,La Cruz,Juvenil - Infantil,, ,"Región de Valparaíso - Provincia de Quillota - La Cruz , Quillota", , , 
FOJI_A121,Orquesta Infantil - Juvenil De San Antonio,Región de Valparaíso,Provincia de San Antonio,San Antonio,Juvenil - Infantil,, ,Región de Valparaíso - Provincia de San Antonio - San Antonio, , , 
FOJI_A122,Orquesta Infantil - Juvenil Del Colegio Jose Manuel Vicuña,Región Metropolitana,Provincia de Santiago,San Joaquín,Juvenil - Infantil,, ,Región Metropolitana - Provincia de Santiago - San Joaquín, , , 
FOJI_A123,Orquesta Infantil - Juvenil Del Colegio Juan Luis Undurraga,Región Metropolitana,Provincia de Santiago,Quilicura,Juvenil - Infantil,, ,"Región Metropolitana - Provincia de Santiago - Quilicura , Santiago",13,51, 
FOJI_A124,Orquesta Infantil - Juvenil Del Colegio Lorenzo Sazie,Región Metropolitana,Provincia de Santiago,Santiago,Juvenil - Infantil,, ,Región Metropolitana - Provincia de Santiago - Santiago,3,20, 
FOJI_A125,Orquesta Infantil - Juvenil Del Colegio San Damian de Molokai,Región Metropolitana,Provincia de Santiago,Cerro Navia,Juvenil - Infantil,, ,Región Metropolitana - Provincia de Santiago - Cerro Navia,4,20, 
FOJI_A126,Orquesta Infantil - Juvenil Municipal De Lanco,Región de los Ríos,Provincia de Valdivia,Lanco,Juvenil - Infantil,, ,Región de los Ríos - Provincia de Valdivia - Lanco , , , 
FOJI_A127,Orquesta Infantil - Juvenil Musart De Casablanca,Región de Valparaíso,Provincia de Valparaíso,Casablanca,Juvenil - Infantil,"Cuerdas, Maderas, Bronces, Percusión"," https://www.facebook.com/orquestaMusArt , https://www.youtube.com/@MusArtCasablanca , https://www.instagram.com/musartcasablanca/",Región de Valparaíso - Provincia de Valparaíso - Casablanca,12,53, 
FOJI_A128,Orquesta Infantil - Juvenil San Agustin De Antofagasta,Región de Antofagasta,Provincia de Antofagasta,Antofagasta,Juvenil - Infantil,, ,Región de Antofagasta - Provincia de Antofagasta - Antofagasta, , , 
FOJI_A129,Orquesta Infantil Armando Dufey,Región de la Araucanía,Provincia de Cautín,Temuco,Infantil,, ,"Región de la Araucanía - Provincia de Cautín - Temuco ,", , , 
FOJI_A130,Orquesta Infantil Colegio Abraham Lincoln,Región de Arica y Parinacota,Provincia de Arica,Arica,Infantil,, ,Región de Arica y Parinacota - Provincia de Arica - Arica, , , 
FOJI_A131,Orquesta Infantil Colegio Beth-El,Región de Ñuble,Provincia de Diguillín,Chillán,Infantil,, ,"Región de Ñuble - Provincia de Diguillín - Chillán , chillam",4,45, 
FOJI_A132,Orquesta Infantil Colegio Claudio Arrau,Región de Coquimbo,Provincia de Elqui,Coquimbo,Infantil,," https://www.facebook.com/casadelaculturadesantodomingo/ , https://www.youtube.com/channel/UC9LDgSv-onKgSmeCxzhEX5A , https://www.instagram.com/culturasantodomingo/","Región de Coquimbo - Provincia de Elqui - Coquimbo ,", , , 
FOJI_A133,Orquesta infantil Colegio Maria Raquel,Región del Maule,Provincia de Talca,Talca,Infantil,, ,Región del Maule - Provincia de Talca - Talca,2, , 
FOJI_A134,Orquesta Infantil Colegio San Patricio,Región de Antofagasta,Provincia de Antofagasta,Antofagasta,Infantil,,"https://www.facebook.com/orquestauniversitaria.laserena , https://catastro.foji.cl/orquesta/10/www.instagram.com/oulaserena",Región de Antofagasta - Provincia de Antofagasta - Antofagasta,4, , 
FOJI_A135,Orquesta Infantil De Cuerdas De Rio Blanco,Región de Valparaíso,Provincia de Valparaíso,Valparaíso,Infantil,, ,"Región de Valparaíso - Provincia de Valparaíso - Valparaíso , Los Andes", , , 
FOJI_A136,Orquesta Infantil De La Escuela Basica Gaspar Cabrales De Barquito,Región de Atacama,Provincia de Chañaral,Chañaral,Infantil,, ,Región de Atacama - Provincia de Chañaral - Chañaral, , , 
FOJI_A137,Orquesta Infantil De Limache,Región de Valparaíso,Provincia de Marga Marga,Limache,Infantil,, ,Región de Valparaíso - Provincia de Marga Marga - Limache, , , 
FOJI_A138,Orquesta Infantil de San Rafael - OISAR,Región del Maule,Provincia de Talca,San Rafael,Infantil,"Cuerdas, Maderas, Bronces, Percusión", ,Región del Maule - Provincia de Talca - San Rafael,7,31, 
FOJI_A139,Orquesta Infantil del Colegio San José de Lampa,Región Metropolitana,Provincia de Chacabuco,Lampa,Juvenil - Infantil,, ,"Región Metropolitana - Provincia de Chacabuco - Lampa , Santiago",5,26, 
FOJI_A140,Orquesta Infantil Escuela Elise Mottart,Región de Ñuble,Provincia de Diguillín,El Carmen,Infantil,, ,Región de Ñuble - Provincia de Diguillín - El Carmen,5,37, 
FOJI_A141,Orquesta Infantil Escuela Ernesto Castro Arellano De Curico,Región del Maule,Provincia de Curicó,Curicó,Infantil,, ,"Región del Maule - Provincia de Curicó - Curicó , Curico", , , 
FOJI_A142,Orquesta Infantil Escuela Pedro Quintana Mansilla,Región de Aisén del Gral. Carlos Ibáñez del Campo,Provincia de Coyhaique,Coihaique,Infantil,"Cuerdas, Maderas"," https://www.facebook.com/programa.tocandosuenos.9 , https://catastro.foji.cl/orquesta/680/programatocandosuenos","Región de Aisén del Gral. Carlos Ibáñez del Campo - Provincia de Coyhaique - Coihaique , Coyhaique",6,32, 
FOJI_A143,Orquesta Infantil Escuela Rural El Melí,Región de los Lagos,Provincia de Llanquihue,Los Muermos,Infantil,, ,Región de los Lagos - Provincia de Llanquihue - Los Muermos, ,22, 
